Temperature,Target_Temperature,ADC_Value,Voltage,Time,FSM_State_Index,Heater_Currently_On
53857,170,3966,3196,361,0,1
41679,170,4014,3234,622,0,1
42594,170,4011,3232,883,0,1
41679,170,4014,3234,1144,0,1
42292,170,4012,3233,1405,0,1
43188,170,4009,3230,1666,0,1
42594,170,4011,3232,1927,0,1
43188,170,4009,3230,2188,0,1
42292,170,4012,3233,2449,0,1
42292,170,4012,3233,2710,0,1
42292,170,4012,3233,2971,0,1
41679,170,4014,3234,3232,0,1
42292,170,4012,3233,3493,0,1
43188,170,4009,3230,3754,0,1
42292,170,4012,3233,4015,0,1
41987,170,4013,3233,4276,0,1
42292,170,4012,3233,4537,0,1
43481,170,4008,3229,4798,0,1
43188,170,4009,3230,5059,0,1
42292,170,4012,3233,5320,0,1
41987,170,4013,3233,5581,0,1
42594,170,4011,3232,5842,0,1
41987,170,4013,3233,6103,0,1
41987,170,4013,3233,6364,0,1
42892,170,4010,3231,6625,0,1
41987,170,4013,3233,6886,0,1
42594,170,4011,3232,7147,0,1
41987,170,4013,3233,7408,0,1
42892,170,4010,3231,7669,0,1
41987,170,4013,3233,7930,0,1
42292,170,4012,3233,8191,0,1
41369,170,4015,3235,8452,0,1
42594,170,4011,3232,8713,0,1
41369,170,4015,3235,8974,0,1
41369,170,4015,3235,9235,0,1
42594,170,4011,3232,9496,0,1
42594,170,4011,3232,9757,0,1
41987,170,4013,3233,10018,0,1
43481,170,4008,3229,10280,0,1
42892,170,4010,3231,10542,0,1
42594,170,4011,3232,10804,0,1
42292,170,4012,3233,11066,0,1
41679,170,4014,3234,11328,0,1
42594,170,4011,3232,11590,0,1
42892,170,4010,3231,11852,0,1
41679,170,4014,3234,12114,0,1
43188,170,4009,3230,12376,0,1
41679,170,4014,3234,12638,0,1
41987,170,4013,3233,12900,0,1
42594,170,4011,3232,13162,0,1
41987,170,4013,3233,13424,0,1
42594,170,4011,3232,13686,0,1
41987,170,4013,3233,13948,0,1
42594,170,4011,3232,14210,0,1
43188,170,4009,3230,14472,0,1
41369,170,4015,3235,14734,0,1
42594,170,4011,3232,14996,0,1
41369,170,4015,3235,15258,0,1
41987,170,4013,3233,15520,0,1
43188,170,4009,3230,15782,0,1
42594,170,4011,3232,16044,0,1
42292,170,4012,3233,16306,0,1
43188,170,4009,3230,16568,0,1
41987,170,4013,3233,16830,0,1
42594,170,4011,3232,17092,0,1
43481,170,4008,3229,17354,0,1
41987,170,4013,3233,17616,0,1
41679,170,4014,3234,17878,0,1
42292,170,4012,3233,18140,0,1
42892,170,4010,3231,18402,0,1
42892,170,4010,3231,18664,0,1
42594,170,4011,3232,18926,0,1
41987,170,4013,3233,19188,0,1
42594,170,4011,3232,19450,0,1
43188,170,4009,3230,19712,0,1
43188,170,4009,3230,19974,0,1
42594,170,4011,3232,20236,0,1
41369,170,4015,3235,20498,0,1
42292,170,4012,3233,20760,0,1
43188,170,4009,3230,21022,0,1
43188,170,4009,3230,21284,0,1
42292,170,4012,3233,21546,0,1
42292,170,4012,3233,21808,0,1
41679,170,4014,3234,22070,0,1
42292,170,4012,3233,22332,0,1
42594,170,4011,3232,22594,0,1
42594,170,4011,3232,22856,0,1
42594,170,4011,3232,23118,0,1
42594,170,4011,3232,23380,0,1
43772,170,4007,3229,23642,0,1
43188,170,4009,3230,23904,0,1
43481,170,4008,3229,24166,0,1
43188,170,4009,3230,24428,0,1
43481,170,4008,3229,24690,0,1
41987,170,4013,3233,24952,0,1
43188,170,4009,3230,25214,0,1
44344,170,4005,3227,25476,0,1
43188,170,4009,3230,25738,0,1
43772,170,4007,3229,26000,0,1
44907,170,4003,3225,26262,0,1
42892,170,4010,3231,26524,0,1
43772,170,4007,3229,26786,0,1
43481,170,4008,3229,27048,0,1
43188,170,4009,3230,27310,0,1
43481,170,4008,3229,27572,0,1
43188,170,4009,3230,27834,0,1
42594,170,4011,3232,28096,0,1
43481,170,4008,3229,28358,0,1
43772,170,4007,3229,28620,0,1
44059,170,4006,3228,28882,0,1
43188,170,4009,3230,29144,0,1
43772,170,4007,3229,29406,0,1
42892,170,4010,3231,29668,0,1
44627,170,4004,3226,29930,0,1
43481,170,4008,3229,30192,0,1
44344,170,4005,3227,30454,0,1
44059,170,4006,3228,30716,0,1
44344,170,4005,3227,30978,0,1
44344,170,4005,3227,31240,0,1
44344,170,4005,3227,31502,0,1
44344,170,4005,3227,31764,0,1
44907,170,4003,3225,32026,0,1
44627,170,4004,3226,32288,0,1
44344,170,4005,3227,32550,0,1
44344,170,4005,3227,32812,0,1
44344,170,4005,3227,33074,0,1
44059,170,4006,3228,33336,0,1
43772,170,4007,3229,33598,0,1
44059,170,4006,3228,33860,0,1
45184,170,4002,3225,34122,0,1
44344,170,4005,3227,34384,0,1
45459,170,4001,3224,34646,0,1
43772,170,4007,3229,34908,0,1
45732,170,4000,3223,35170,0,1
44907,170,4003,3225,35432,0,1
44344,170,4005,3227,35694,0,1
45732,170,4000,3223,35956,0,1
46002,170,3999,3222,36218,0,1
44627,170,4004,3226,36480,0,1
44627,170,4004,3226,36742,0,1
45184,170,4002,3225,37004,0,1
44907,170,4003,3225,37266,0,1
44907,170,4003,3225,37528,0,1
45459,170,4001,3224,37790,0,1
45184,170,4002,3225,38052,0,1
45732,170,4000,3223,38314,0,1
46002,170,3999,3222,38576,0,1
45184,170,4002,3225,38838,0,1
47061,170,3995,3219,39100,0,1
45459,170,4001,3224,39362,0,1
46536,170,3997,3221,39624,0,1
45184,170,4002,3225,39886,0,1
46270,170,3998,3221,40148,0,1
46002,170,3999,3222,40410,0,1
45732,170,4000,3223,40672,0,1
46002,170,3999,3222,40934,0,1
46002,170,3999,3222,41196,0,1
46270,170,3998,3221,41458,0,1
45732,170,4000,3223,41720,0,1
46536,170,3997,3221,41982,0,1
46536,170,3997,3221,42244,0,1
47061,170,3995,3219,42506,0,1
47321,170,3994,3218,42768,0,1
46800,170,3996,3220,43030,0,1
46800,170,3996,3220,43292,0,1
45732,170,4000,3223,43554,0,1
47321,170,3994,3218,43816,0,1
47061,170,3995,3219,44078,0,1
48587,170,3989,3214,44340,0,1
46800,170,3996,3220,44602,0,1
48086,170,3991,3216,44864,0,1
47578,170,3993,3217,45126,0,1
46800,170,3996,3220,45388,0,1
46002,170,3999,3222,45650,0,1
47061,170,3995,3219,45912,0,1
47833,170,3992,3216,46174,0,1
48086,170,3991,3216,46436,0,1
47321,170,3994,3218,46698,0,1
47321,170,3994,3218,46960,0,1
47578,170,3993,3217,47222,0,1
47578,170,3993,3217,47484,0,1
48338,170,3990,3215,47746,0,1
48587,170,3989,3214,48008,0,1
48835,170,3988,3213,48270,0,1
49324,170,3986,3212,48532,0,1
48587,170,3989,3214,48794,0,1
48835,170,3988,3213,49056,0,1
49324,170,3986,3212,49318,0,1
48338,170,3990,3215,49580,0,1
49080,170,3987,3212,49842,0,1
49566,170,3985,3211,50104,0,1
48587,170,3989,3214,50366,0,1
50044,170,3983,3209,50628,0,1
49080,170,3987,3212,50890,0,1
48587,170,3989,3214,51152,0,1
49806,170,3984,3210,51414,0,1
49566,170,3985,3211,51676,0,1
47833,170,3992,3216,51938,0,1
49806,170,3984,3210,52200,0,1
50281,170,3982,3208,52462,0,1
50281,170,3982,3208,52724,0,1
49566,170,3985,3211,52986,0,1
49566,170,3985,3211,53248,0,1
50281,170,3982,3208,53510,0,1
50516,170,3981,3208,53772,0,1
50281,170,3982,3208,54034,0,1
50516,170,3981,3208,54296,0,1
48587,170,3989,3214,54558,0,1
50281,170,3982,3208,54820,0,1
50281,170,3982,3208,55082,0,1
50981,170,3979,3206,55344,0,1
50981,170,3979,3206,55606,0,1
51212,170,3978,3205,55868,0,1
51440,170,3977,3204,56130,0,1
50516,170,3981,3208,56392,0,1
49806,170,3984,3210,56654,0,1
51667,170,3976,3204,56916,0,1
50750,170,3980,3207,57178,0,1
51440,170,3977,3204,57440,0,1
50516,170,3981,3208,57702,0,1
51893,170,3975,3203,57964,0,1
51667,170,3976,3204,58226,0,1
51893,170,3975,3203,58488,0,1
52339,170,3973,3201,58750,0,1
51893,170,3975,3203,59012,0,1
51893,170,3975,3203,59274,0,1
52998,170,3970,3199,59536,0,1
52780,170,3971,3200,59798,0,1
52339,170,3973,3201,60060,0,1
52339,170,3973,3201,60322,0,1
51667,170,3976,3204,60584,0,1
54068,170,3965,3195,60846,0,1
53430,170,3968,3197,61108,0,1
53644,170,3967,3196,61370,0,1
53215,170,3969,3198,61632,0,1
53430,170,3968,3197,61894,0,1
53215,170,3969,3198,62156,0,1
53430,170,3968,3197,62418,0,1
54487,170,3963,3193,62680,0,1
54901,170,3961,3192,62942,0,1
53430,170,3968,3197,63204,0,1
54487,170,3963,3193,63466,0,1
54278,170,3964,3194,63728,0,1
54278,170,3964,3194,63990,0,1
54278,170,3964,3194,64252,0,1
54487,170,3963,3193,64514,0,1
54695,170,3962,3192,64776,0,1
54901,170,3961,3192,65038,0,1
55310,170,3959,3190,65300,0,1
55106,170,3960,3191,65562,0,1
55915,170,3956,3187,65824,0,1
55310,170,3959,3190,66086,0,1
55714,170,3957,3188,66348,0,1
55915,170,3956,3187,66610,0,1
55915,170,3956,3187,66872,0,1
56114,170,3955,3187,67134,0,1
56312,170,3954,3186,67396,0,1
56509,170,3953,3185,67658,0,1
57286,170,3949,3182,67920,0,1
56114,170,3955,3187,68182,0,1
56312,170,3954,3186,68444,0,1
56509,170,3953,3185,68706,0,1
56900,170,3951,3183,68968,0,1
57668,170,3947,3180,69230,0,1
56312,170,3954,3186,69492,0,1
56900,170,3951,3183,69754,0,1
57668,170,3947,3180,70016,0,1
57668,170,3947,3180,70278,0,1
57858,170,3946,3179,70540,0,1
57668,170,3947,3180,70802,0,1
57478,170,3948,3181,71064,0,1
57668,170,3947,3180,71326,0,1
58421,170,3943,3177,71588,0,1
58234,170,3944,3178,71850,0,1
58791,170,3941,3175,72112,0,1
58421,170,3943,3177,72374,0,1
58606,170,3942,3176,72636,0,1
58606,170,3942,3176,72898,0,1
58791,170,3941,3175,73160,0,1
59158,170,3939,3174,73422,0,1
59340,170,3938,3173,73684,0,1
59340,170,3938,3173,73946,0,1
59521,170,3937,3172,74208,0,1
60235,170,3933,3169,74470,0,1
59880,170,3935,3171,74732,0,1
59701,170,3936,3171,74994,0,1
59521,170,3937,3172,75256,0,1
60588,170,3931,3167,75518,0,1
60412,170,3932,3168,75780,0,1
61625,170,3925,3163,76042,0,1
60763,170,3930,3167,76304,0,1
61282,170,3927,3164,76566,0,1
61964,170,3923,3161,76828,0,1
61282,170,3927,3164,77090,0,1
61282,170,3927,3164,77352,0,1
61964,170,3923,3161,77614,0,1
61964,170,3923,3161,77876,0,1
61625,170,3925,3163,78138,0,1
62133,170,3922,3160,78400,0,1
61964,170,3923,3161,78662,0,1
61964,170,3923,3161,78924,0,1
62467,170,3920,3158,79186,0,1
62133,170,3922,3160,79448,0,1
62799,170,3918,3157,79710,0,1
62964,170,3917,3156,79972,0,1
63128,170,3916,3155,80234,0,1
63291,170,3915,3154,80496,0,1
63454,170,3914,3154,80758,0,1
63937,170,3911,3151,81020,0,1
63616,170,3913,3153,81282,0,1
64256,170,3909,3150,81544,0,1
64097,170,3910,3150,81806,0,1
64256,170,3909,3150,82068,0,1
64415,170,3908,3149,82330,0,1
64887,170,3905,3146,82592,0,1
64256,170,3909,3150,82854,0,1
65198,170,3903,3145,83116,0,1
64730,170,3906,3147,83378,0,1
65353,170,3902,3144,83640,0,1
65507,170,3901,3143,83902,0,1
65353,170,3902,3144,84164,0,1
65198,170,3903,3145,84426,0,1
65813,170,3899,3142,84688,0,1
66117,170,3897,3140,84950,0,1
66418,170,3895,3138,85212,0,1
66117,170,3897,3140,85474,0,1
65813,170,3899,3142,85736,0,1
66718,170,3893,3137,85998,0,1
66718,170,3893,3137,86260,0,1
67602,170,3887,3132,86522,0,1
67456,170,3888,3133,86784,0,1
67747,170,3886,3131,87046,0,1
68037,170,3884,3129,87308,0,1
67602,170,3887,3132,87570,0,1
67602,170,3887,3132,87832,0,1
68324,170,3882,3128,88094,0,1
68751,170,3879,3125,88356,0,1
68467,170,3881,3127,88618,0,1
69313,170,3875,3122,88880,0,1
69173,170,3876,3123,89142,0,1
70278,170,3868,3117,89404,0,1
69313,170,3875,3122,89666,0,1
69867,170,3871,3119,89928,0,1
70142,170,3869,3117,90190,0,1
70005,170,3870,3118,90452,0,1
70278,170,3868,3117,90714,0,1
70278,170,3868,3117,90976,0,1
70278,170,3868,3117,91238,0,1
70414,170,3867,3116,91500,0,1
70685,170,3865,3114,91762,0,1
70820,170,3864,3113,92024,0,1
71487,170,3859,3109,92286,0,1
71354,170,3860,3110,92548,0,1
71354,170,3860,3110,92810,0,1
71221,170,3861,3111,93072,0,1
71354,170,3860,3110,93334,0,1
72143,170,3854,3105,93596,0,1
72143,170,3854,3105,93858,0,1
72532,170,3851,3103,94120,0,1
72403,170,3852,3104,94382,0,1
72789,170,3849,3101,94644,0,1
72789,170,3849,3101,94906,0,1
73172,170,3846,3099,95168,0,1
73299,170,3845,3098,95430,0,1
73803,170,3841,3095,95692,0,1
73299,170,3845,3098,95954,0,1
73803,170,3841,3095,96216,0,1
73426,170,3844,3097,96478,0,1
75037,170,3831,3087,96740,0,1
74177,170,3838,3092,97002,0,1
74301,170,3837,3092,97264,0,1
74793,170,3833,3088,97526,0,1
74915,170,3832,3088,97788,0,1
75279,170,3829,3085,98050,0,1
75761,170,3825,3082,98312,0,1
75641,170,3826,3083,98574,0,1
75999,170,3823,3080,98836,0,1
76354,170,3820,3078,99098,0,1
76354,170,3820,3078,99360,0,1
76707,170,3817,3075,99622,0,1
77057,170,3814,3073,99884,0,1
76824,170,3816,3075,100146,0,1
77173,170,3813,3072,100408,0,1
77404,170,3811,3071,100670,0,1
77976,170,3806,3067,100932,0,1
77862,170,3807,3067,101194,0,1
77862,170,3807,3067,101456,0,1
78429,170,3802,3063,101718,0,1
77976,170,3806,3067,101980,0,1
77519,170,3810,3070,102242,0,1
78541,170,3801,3063,102504,0,1
79210,170,3795,3058,102766,0,1
79431,170,3793,3056,103028,0,1
79320,170,3794,3057,103290,0,1
79431,170,3793,3056,103552,0,1
79760,170,3790,3054,103814,0,1
80087,170,3787,3051,104076,0,1
80303,170,3785,3050,104338,0,1
80733,170,3781,3046,104600,0,1
80733,170,3781,3046,104862,0,1
80947,170,3779,3045,105124,0,1
81159,170,3777,3043,105386,0,1
81053,170,3778,3044,105648,0,1
81159,170,3777,3043,105910,0,1
82208,170,3767,3035,106172,0,1
81791,170,3771,3038,106434,0,1
81896,170,3770,3038,106696,0,1
82000,170,3769,3037,106958,0,1
82826,170,3761,3030,107220,0,1
82621,170,3763,3032,107482,0,1
83030,170,3759,3029,107744,0,1
83030,170,3759,3029,108006,0,1
83537,170,3754,3025,108268,0,1
83537,170,3754,3025,108530,0,1
83839,170,3751,3022,108792,0,1
84138,170,3748,3020,109054,0,1
83939,170,3750,3021,109316,0,1
84238,170,3747,3019,109578,0,1
84337,170,3746,3018,109840,0,1
85222,170,3737,3011,110102,0,1
85027,170,3739,3013,110364,0,1
84732,170,3742,3015,110626,0,1
85124,170,3738,3012,110888,0,1
85416,170,3735,3009,111150,0,1
86282,170,3726,3002,111412,0,1
86186,170,3727,3003,111674,0,1
86472,170,3724,3001,111936,0,1
86662,170,3722,2999,112198,0,1
86662,170,3722,2999,112460,0,1
87226,170,3716,2994,112722,0,1
87039,170,3718,2996,112984,0,1
87506,170,3713,2992,113246,0,1
87692,170,3711,2990,113508,0,1
88061,170,3707,2987,113770,0,1
88519,170,3702,2983,114032,0,1
88153,170,3706,2986,114294,0,1
88611,170,3701,2982,114556,0,1
88611,170,3701,2982,114818,0,1
89154,170,3695,2977,115080,0,1
89244,170,3694,2976,115342,0,1
89603,170,3690,2973,115604,0,1
89692,170,3689,2972,115866,0,1
89959,170,3686,2970,116128,0,1
89959,170,3686,2970,116390,0,1
90401,170,3681,2966,116652,0,1
90664,170,3678,2963,116914,0,1
90664,170,3678,2963,117176,0,1
90489,170,3680,2965,117438,0,1
91100,170,3673,2959,117700,0,1
91446,170,3669,2956,117962,0,1
91533,170,3668,2955,118224,0,1
91962,170,3663,2951,118486,0,1
91876,170,3664,2952,118748,0,1
92387,170,3658,2947,119010,0,1
92726,170,3654,2944,119272,0,1
92557,170,3656,2946,119534,0,1
93062,170,3650,2941,119796,0,1
92726,170,3654,2944,120058,0,1
93479,170,3645,2937,120320,0,1
93728,170,3642,2934,120582,0,1
93811,170,3641,2934,120844,0,1
94058,170,3638,2931,121106,0,1
94140,170,3637,2930,121368,0,1
94794,170,3629,2924,121630,0,1
94712,170,3630,2925,121892,0,1
95037,170,3626,2922,122154,0,1
94794,170,3629,2924,122416,0,1
95279,170,3623,2919,122678,0,1
95600,170,3619,2916,122940,0,1
95840,170,3616,2913,123202,0,1
95999,170,3614,2912,123464,0,1
96317,170,3610,2909,123726,0,1
96396,170,3609,2908,123988,0,1
96396,170,3609,2908,124250,0,1
96946,170,3602,2902,124512,0,1
97024,170,3601,2901,124774,0,1
97569,170,3594,2896,125036,0,1
97491,170,3595,2897,125298,0,1
97646,170,3593,2895,125560,0,1
97955,170,3589,2892,125822,0,1
98262,170,3585,2889,126084,0,1
98491,170,3582,2886,126346,0,1
99174,170,3573,2879,126608,0,1
99023,170,3575,2880,126870,0,1
98947,170,3576,2881,127132,0,1
99474,170,3569,2876,127394,0,1
99699,170,3566,2873,127656,0,1
